"";"nummer";"lp";"date_bt_ini";"date_bt_out";"phase_total";"zustimmg";"leadingcom";"completed";"election";"potLoss_same90";"potGain_same90"
"153";224;8;"1978-05-30";"1978-06-23";24;0;14;1;0;0;0
"154";228;8;"1978-09-01";"1978-11-30";90;1;14;1;0;0;0
"155";229;8;"1978-09-21";"1978-10-20";29;NA;9;0;0;0;0
"156";235;8;"1978-06-22";"1979-05-10";322;1;2;1;0;0;0
"157";241;8;"1978-09-22";"1978-10-20";28;0;2;1;0;0;0
"158";242;8;"1978-09-22";"1978-10-20";28;1;2;1;0;0;0
"159";243;8;"1978-09-22";"1978-10-20";28;1;9;1;0;0;0
"160";245;8;"1978-09-08";"1979-01-26";140;0;9;1;0;0;0
"161";246;8;"1978-12-13";"1980-02-13";427;0;16;1;0;0;0
"162";247;8;"1979-01-15";"1979-10-11";269;1;2;1;0;0;0
"163";248;8;"1978-10-24";"1979-03-08";135;1;3;1;0;0;0
"164";249;8;"1978-11-27";"1979-09-20";297;0;9;1;0;0;0
"165";250;8;"1978-12-08";"1979-03-29";111;0;1;1;0;0;0
"166";251;8;"1979-02-22";"1979-11-29";280;0;14;1;0;0;0
"167";252;8;"1978-10-24";"1979-03-08";135;1;3;1;0;0;0
"168";253;8;"1978-10-24";"1979-03-08";135;1;3;1;0;0;0
"169";254;8;"1978-10-24";"1979-03-08";135;1;3;1;0;0;0
"170";255;8;"1978-10-24";"1979-02-15";114;1;3;1;0;0;0
"171";256;8;"1978-10-24";"1979-03-08";135;1;3;1;0;0;0
"172";257;8;"1978-10-24";"1979-03-15";142;0;3;1;0;0;0
"173";258;8;"1979-03-05";"1979-10-18";227;1;3;1;0;0;0
"174";259;8;"1978-10-25";"1979-06-21";239;0;25;1;0;0;0
"175";262;8;"1978-10-27";"1980-02-13";474;NA;3;0;0;0;0
"176";263;8;"1978-09-14";"1978-10-20";36;NA;2;0;0;0;0
"177";264;8;"1978-09-14";"1978-10-20";36;NA;9;0;0;0;0
"178";265;8;"1978-09-14";"1978-10-20";36;NA;2;0;0;0;0
"179";266;8;"1978-09-27";"1978-12-13";77;1;16;1;0;0;0
"180";268;8;"1978-11-14";"1979-03-08";114;1;3;1;0;0;0
"181";270;8;"1977-06-28";"1978-10-05";464;1;16;1;0;0;0
"182";271;8;"1979-01-04";"1979-03-29";84;1;2;1;0;0;0
"183";272;8;"1979-01-26";"1979-11-29";307;1;14;1;0;0;0
"184";273;8;"1979-01-26";"1979-11-29";307;0;14;1;0;0;0
"185";274;8;"1978-12-29";"1979-05-31";153;1;1;1;0;0;0
"186";275;8;"1978-12-07";"1979-05-31";175;1;3;1;0;0;0
"187";276;8;"1979-01-26";"1979-11-29";307;1;14;0;0;0;0
"188";278;8;"1978-10-05";"1978-12-15";71;1;9;1;0;0;0
"189";279;8;"1979-03-30";"1979-11-29";244;1;2;1;0;0;0
"190";282;8;"1979-02-14";"1980-05-23";464;1;2;0;0;0;0
"191";283;8;"1979-02-02";"1980-06-26";510;1;2;0;0;0;0
"192";284;8;"1979-03-13";"1979-11-29";261;1;7;1;0;0;0
"193";285;8;"1978-12-22";"1979-03-29";97;1;3;1;0;0;0
"194";286;8;"1978-12-22";"1979-03-08";76;1;3;1;0;0;0
"195";287;8;"1978-12-22";"1979-03-29";97;1;3;1;0;0;0
"196";288;8;"1978-12-22";"1979-03-08";76;1;3;1;0;0;0
"197";289;8;"1979-02-23";"1979-10-18";237;1;3;1;0;0;0
"198";290;8;"1979-01-15";"1979-05-18";123;1;4;1;0;0;0
"199";291;8;"1979-01-26";"1980-05-13";473;0;16;1;0;0;0
"200";299;8;"1979-09-07";"1979-12-14";98;0;9;1;0;0;0
"201";304;8;"1979-09-28";"1980-05-13";228;0;16;0;0;0;0
"202";305;8;"1979-03-07";"1979-06-01";86;0;2;1;0;0;0
"203";306;8;"1979-03-05";"1979-05-10";66;0;2;1;0;0;0
"204";307;8;"1979-04-26";"1979-11-28";216;1;4;1;0;0;0
"205";308;8;"1979-06-06";"1980-06-12";372;1;14;1;0;0;0
"206";309;8;"1979-02-20";"1979-05-10";79;0;3;1;0;0;0
"207";310;8;"1979-05-28";"1979-10-18";143;1;3;1;0;0;0
"208";311;8;"1979-02-22";"1980-02-13";356;0;3;1;0;0;0
"209";312;8;"1979-02-20";"1979-05-31";100;1;3;1;0;0;0
"210";315;8;"1979-03-12";"1979-06-21";101;1;3;1;0;0;0
"211";318;8;"1979-03-19";"1979-05-31";73;0;14;1;0;0;0
"212";319;8;"1979-07-26";"1979-11-15";112;0;2;1;0;0;0
"213";320;8;"1979-05-11";"1980-06-12";398;0;2;1;0;0;0
"214";321;8;"1979-09-21";"1980-05-22";244;0;14;1;0;0;0
"215";329;8;"1979-03-14";"1979-07-03";111;0;16;1;0;0;0
"216";331;8;"1979-03-15";"1979-05-10";56;1;9;1;0;0;0
"217";335;8;"1979-03-29";"1979-05-31";63;0;14;1;0;0;0
"218";336;8;"1979-05-17";"1979-06-21";35;1;14;1;0;0;0
"219";337;8;"1979-07-17";"1979-11-15";121;0;16;1;0;0;0
"220";338;8;"1979-09-04";"1980-02-28";177;1;1;1;0;0;0
"221";339;8;"1979-05-18";"1979-10-11";146;1;3;1;0;0;0
"222";340;8;"1979-05-18";"1979-10-11";146;1;3;1;0;0;0
"223";343;8;"1979-09-19";"1980-06-25";280;1;16;1;0;0;0
"224";344;8;"1979-06-22";"1979-10-18";118;0;3;1;0;0;0
"225";345;8;"1979-07-17";"1980-02-28";226;0;16;1;0;0;0
"226";346;8;"1979-07-12";"1979-11-29";140;NA;9;0;0;0;0
"227";349;8;"1978-09-07";"1979-05-31";266;0;3;1;0;0;0
"228";352;8;"1979-08-10";"1980-02-13";187;0;3;1;0;0;0
"229";353;8;"1979-08-22";"1979-11-08";78;1;2;1;0;0;0
"230";354;8;"1979-08-14";"1979-11-15";93;0;9;1;0;0;0
"231";357;8;"1979-07-12";"1980-01-17";189;1;2;1;0;0;0
"232";358;8;"1979-11-27";"1980-06-12";198;1;14;1;0;0;0
"233";359;8;"1979-07-12";"1979-11-15";126;1;25;1;0;0;0
"234";360;8;"1979-07-12";"1979-10-18";98;1;3;1;0;0;0
"235";361;8;"1979-07-12";"1979-10-11";91;1;3;1;0;0;0
"236";362;8;"1979-08-29";"1980-07-02";308;0;3;1;0;0;0
"237";363;8;"1979-08-22";"1980-01-17";148;1;14;1;0;0;0
"238";364;8;"1979-09-13";"1980-05-22";252;0;2;0;0;0;0
"239";366;8;"1979-06-01";"1979-06-27";26;0;9;1;0;0;0
"240";369;8;"1979-06-26";"1980-07-03";373;NA;2;0;0;0;0
"241";377;8;"1979-11-08";"1980-05-13";187;1;16;0;0;0;0
"242";378;8;"1979-11-06";"1980-06-25";232;1;2;1;0;0;0
"243";379;8;"1979-11-06";"1980-06-25";232;0;2;1;0;0;0
"244";380;8;"1979-10-04";"1980-06-25";265;1;3;1;0;0;0
"245";381;8;"1979-11-23";"1980-02-13";82;1;3;1;0;0;0
"246";382;8;"1979-10-05";"1979-11-29";55;0;3;1;0;0;0
"247";383;8;"1979-10-05";"1980-02-28";146;1;9;1;0;0;0
"248";384;8;"1979-10-29";"1980-05-13";197;0;16;1;0;0;0
"249";385;8;"1979-11-12";"1980-04-23";163;1;25;1;0;0;0
"250";386;8;"1979-11-02";"1980-02-28";118;1;16;1;0;0;0
"251";387;8;"1979-10-30";"1980-06-12";226;0;25;1;0;0;0
"252";388;8;"1979-11-22";"1980-03-20";119;1;9;1;0;0;0
"253";389;8;"1979-10-01";"1980-03-06";157;1;3;1;0;0;0
"254";390;8;"1979-10-01";"1980-03-06";157;1;3;1;0;0;0
"255";391;8;"1979-10-01";"1980-01-24";115;1;3;1;0;0;0
"256";392;8;"1979-10-01";"1980-01-17";108;1;3;1;0;0;0
"257";393;8;"1979-10-01";"1979-10-11";10;1;2;1;0;0;0
"258";394;8;"1980-01-28";"1980-05-13";106;0;25;1;0;0;0
"259";395;8;"1979-10-26";"1980-03-20";146;0;9;1;0;0;0
"260";396;8;"1979-10-23";"1979-12-13";51;0;2;1;0;0;0
"261";397;8;"1979-11-13";"1980-02-28";107;1;9;1;0;0;0
"262";398;8;"1979-09-07";"1979-10-11";34;0;9;1;0;0;0
"263";399;8;"1979-12-11";"1980-07-02";204;0;3;1;0;0;0
"264";400;8;"1979-10-23";"1980-01-17";86;0;14;1;0;0;0
"265";403;8;"1979-10-03";"1980-01-25";114;0;16;1;0;0;0
"266";406;8;"1980-01-08";"1980-06-18";162;0;3;1;0;0;0
"267";407;8;"1979-11-14";"1980-03-06";113;1;3;1;0;0;0
"268";408;8;"1979-11-14";"1980-03-06";113;0;3;1;0;0;0
"269";413;8;"1980-03-20";"1980-06-25";97;0;1;0;0;0;0
"270";414;8;"1980-02-08";"1980-06-12";125;1;9;1;0;0;0
"271";415;8;"1979-12-04";"1980-03-06";93;1;3;1;0;0;0
"272";416;8;"1979-12-11";"1980-04-17";128;0;3;1;0;0;0
"273";419;8;"1979-07-17";"1979-11-15";121;0;16;1;0;0;0
"274";420;8;"1980-01-09";"1980-06-26";169;1;2;0;0;0;0
"275";421;8;"1980-02-12";"1980-06-12";121;1;14;1;0;0;0
"276";422;8;"1980-01-11";"1980-03-06";55;0;3;1;0;0;0
"277";423;8;"1980-02-12";"1980-06-13";122;0;1;1;0;0;0
"278";424;8;"1980-02-12";"1980-06-12";121;0;3;1;0;0;0
"279";425;8;"1979-12-21";"1980-06-18";180;0;3;1;0;0;0
"280";428;8;"1980-01-29";"1980-06-18";141;1;14;1;0;0;0
"281";436;8;"1980-02-21";"1980-05-22";91;0;9;1;0;0;0
"282";437;8;"1980-02-21";"1980-05-22";91;1;9;1;0;0;0
"283";438;8;"1980-03-22";"1980-06-18";88;1;2;1;0;0;0
"284";439;8;"1980-03-11";"1980-06-12";93;0;9;1;0;0;0
"285";440;8;"1980-04-28";"1980-06-25";58;1;3;1;0;0;0
"286";441;8;"1980-02-11";"1980-04-17";66;1;3;1;0;0;0
"287";442;8;"1980-02-11";"1980-04-17";66;1;3;1;0;0;0
"288";443;8;"1980-02-11";"1980-04-17";66;1;3;1;0;0;0
"289";444;8;"1980-03-04";"1980-05-22";79;1;3;1;0;0;0
"290";445;8;"1980-02-13";"1980-04-17";64;0;3;1;0;0;0
"291";446;8;"1980-02-13";"1980-05-22";99;0;3;1;0;0;0
"292";447;8;"1980-02-22";"1980-06-25";124;0;16;1;0;0;0
"293";448;8;"1980-03-19";"1980-06-25";98;1;14;1;0;0;0
"294";449;8;"1980-03-06";"1980-05-22";77;NA;1;0;0;0;0
"295";451;8;"1980-03-04";"1980-06-18";106;0;3;1;0;0;0
"296";452;8;"1980-03-04";"1980-06-18";106;1;3;1;0;0;0
"297";453;8;"1980-03-04";"1980-05-13";70;0;3;1;0;0;0
"298";454;8;"1980-03-04";"1980-05-13";70;0;3;1;0;0;0
"299";463;8;"1980-03-27";"1980-06-25";90;1;9;1;0;0;0
"300";464;8;"1980-03-25";"1980-06-25";92;0;3;1;0;0;0
"301";465;8;"1980-03-31";"1980-06-12";73;1;3;1;0;0;0
"302";466;8;"1980-03-25";"1980-06-25";92;0;16;1;0;0;0
