"docno";"lp";"date_bt_ini";"date_com_as";"date_com_ini";"date_com_out";"date_bt_out";"phase1";"phase2";"phase3";"phase4";"phase_total";"completed";"zustimmg";"election";"leadingcom";"compresOpp";"potLoss_emp";"potGain_emp";"potLoss_same90";"potGain_same90";"potLoss_past";"potGain_past";"potLoss_com";"potGain_com"
"14/1006";14;"1999-05-06";"1999-06-24";"1999-10-27";"1999-11-03";"1999-11-11";49;125;7;8;189;1;0;0;12;1;0;0;0;0;0;0;0;0
"14/1007";14;"1999-05-06";"1999-06-17";"1999-06-23";"1999-06-24";"1999-06-30";42;6;1;6;55;1;0;0;1;1;0;0;0;0;0;0;0;0
"14/1008";14;"1999-05-06";"1999-06-24";"1999-10-27";"1999-11-03";"1999-11-11";49;125;7;8;189;1;1;0;12;1;0;0;0;0;0;0;0;0
"14/1017";14;"1999-05-07";"1999-06-24";"1999-10-19";"1999-10-19";"1999-11-04";48;117;0;16;181;1;0;0;7;0;0;0;0;0;0;0;0;0
"14/1018";14;"1999-05-07";"1999-06-17";"1999-06-23";"1999-06-23";"1999-06-30";41;6;0;7;54;1;1;0;2;0;0;0;0;0;0;0;0;0
"14/1019";14;"1999-05-07";"1999-06-17";"1999-06-23";"1999-06-23";"1999-06-30";41;6;0;7;54;1;1;0;2;0;0;0;0;0;0;0;0;0
"14/1020";14;"1999-05-07";"1999-06-17";"1999-09-29";"1999-11-03";"1999-11-11";41;104;35;8;188;1;1;0;1;1;0;0;0;0;0;0;0;0
"14/1021";14;"1999-05-07";"1999-06-17";"1999-09-29";"1999-11-03";"1999-11-11";41;104;35;8;188;1;0;0;1;1;0;0;0;0;0;0;0;0
"14/1022";14;"1999-05-07";"1999-06-17";"1999-09-29";"1999-11-03";"1999-11-11";41;104;35;8;188;1;0;0;1;1;0;0;0;0;0;0;0;0
"14/1023";14;"1999-05-07";"1999-06-17";"1999-09-29";"1999-11-03";"1999-11-11";41;104;35;8;188;1;1;0;1;1;0;0;0;0;0;0;0;0
"14/1024";14;"1999-05-07";"1999-06-17";"1999-09-29";"1999-11-03";"1999-11-11";41;104;35;8;188;1;1;0;1;1;0;0;0;0;0;0;0;0
"14/1025";14;"1999-05-07";"1999-06-17";"1999-09-29";"1999-11-03";"1999-11-11";41;104;35;8;188;1;1;0;1;1;0;0;0;0;0;0;0;0
"14/1026";14;"1999-05-07";"1999-06-17";"1999-09-29";"1999-11-03";"1999-11-11";41;104;35;8;188;1;1;0;1;1;0;0;0;0;0;0;0;0
"14/1088";14;"1999-05-28";"1999-06-17";"1999-06-23";"1999-10-06";"1999-10-07";20;6;105;1;132;1;1;0;3;0;0;0;0;0;0;1;0;0
"14/1089";14;"1999-05-28";"1999-06-24";"1999-10-06";"1999-11-03";"1999-11-11";27;104;28;8;167;1;0;0;12;1;0;0;0;0;0;1;0;0
"14/1090";14;"1999-05-28";"1999-06-24";"1999-10-06";"1999-10-18";"1999-11-04";27;104;12;17;160;1;1;0;1;1;0;0;0;0;0;1;0;0
"14/1103";14;"1999-05-27";"1999-06-17";"1999-06-30";"1999-06-30";"1999-06-30";21;13;0;0;34;1;0;0;8;0;0;0;0;0;0;1;0;0
"14/1200";14;"1999-06-22";"1999-06-30";"1999-10-27";"1999-11-11";"2000-01-20";8;119;15;70;212;1;0;0;12;1;0;0;0;1;0;1;0;0
