"lp";"date_bt_ini";"date_bt_out";"phase_total";"zustimmg";"leadingcom";"completed";"nummer";"election";"potLoss_same90";"potGain_same90"
8;"1979-06-01";"1979-06-27";26;0;9;1;366;0;0;0
8;"1979-06-26";"1980-07-03";373;NA;2;0;369;0;0;0
8;"1979-11-08";"1980-05-13";187;1;16;0;377;0;0;0
8;"1979-11-06";"1980-06-25";232;1;2;1;378;0;0;0
8;"1979-11-06";"1980-06-25";232;0;2;1;379;0;0;0
8;"1979-10-04";"1980-06-25";265;1;3;1;380;0;0;0
8;"1979-11-23";"1980-02-13";82;1;3;1;381;0;0;0
8;"1979-10-05";"1979-11-29";55;0;3;1;382;0;0;0
8;"1979-10-05";"1980-02-28";146;1;9;1;383;0;0;0
8;"1979-10-29";"1980-05-13";197;0;16;1;384;0;0;0
8;"1979-11-12";"1980-04-23";163;1;25;1;385;0;0;0
8;"1979-11-02";"1980-02-28";118;1;16;1;386;0;0;0
8;"1979-10-30";"1980-06-12";226;0;25;1;387;0;0;0
8;"1979-11-22";"1980-03-20";119;1;9;1;388;0;0;0
8;"1979-10-01";"1980-03-06";157;1;3;1;389;0;0;0
8;"1979-10-01";"1980-03-06";157;1;3;1;390;0;0;0
8;"1979-10-01";"1980-01-24";115;1;3;1;391;0;0;0
8;"1979-10-01";"1980-01-17";108;1;3;1;392;0;0;0
8;"1979-10-01";"1979-10-11";10;1;2;1;393;0;0;0
8;"1980-01-28";"1980-05-13";106;0;25;1;394;0;0;0
8;"1979-10-26";"1980-03-20";146;0;9;1;395;0;0;0
8;"1979-10-23";"1979-12-13";51;0;2;1;396;0;0;0
8;"1979-11-13";"1980-02-28";107;1;9;1;397;0;0;0
8;"1979-09-07";"1979-10-11";34;0;9;1;398;0;0;0
8;"1979-12-11";"1980-07-02";204;0;3;1;399;0;0;0
8;"1979-10-23";"1980-01-17";86;0;14;1;400;0;0;0
8;"1979-10-03";"1980-01-25";114;0;16;1;403;0;0;0
8;"1980-01-08";"1980-06-18";162;0;3;1;406;0;0;0
8;"1979-11-14";"1980-03-06";113;1;3;1;407;0;0;0
8;"1979-11-14";"1980-03-06";113;0;3;1;408;0;0;0
8;"1980-03-20";"1980-06-25";97;0;1;0;413;0;0;0
8;"1980-02-08";"1980-06-12";125;1;9;1;414;0;0;0
8;"1979-12-04";"1980-03-06";93;1;3;1;415;0;0;0
8;"1979-12-11";"1980-04-17";128;0;3;1;416;0;0;0
8;"1979-07-17";"1979-11-15";121;0;16;1;419;0;0;0
8;"1980-01-09";"1980-06-26";169;1;2;0;420;0;0;0
8;"1980-02-12";"1980-06-12";121;1;14;1;421;0;0;0
8;"1980-01-11";"1980-03-06";55;0;3;1;422;0;0;0
8;"1980-02-12";"1980-06-13";122;0;1;1;423;0;0;0
